id,count,lat,lng
2,148880,35.0000,105.0000
3,4736617,47.0000,8.0000
4,16512,42.5000,1.5000
5,2616480,24.0000,54.0000
6,96864,33.0000,65.0000
7,44930,17.0500,-61.8000
8,2048,18.2500,-63.1667
9,358835,41.0000,20.0000
10,587861,40.0000,45.0000
12,1077549,-12.5000,18.5000
13,4392,-90.0000,0.0000
14,10425389,-34.6033,-58.3817
15,6408,-14.3333,-170.0000
16,7318505,48.2000,16.3667
17,29687155,-27.0000,133.0000
18,4376,12.5000,-69.9667
19,676559,40.5000,47.5000
20,322105,44.0000,18.0000
21,3456,13.1667,-59.5333
22,641067,23.7000,90.3750
23,22326581,50.8500,4.3500
24,90784,13.0000,-2.0000
25,3400868,42.7000,23.3333
26,403114,26.0000,50.5500
27,40064,-3.5000,30.0000
28,55536,9.5000,2.2500
29,13440,32.3333,-64.7500
30,78976,4.5000,114.6667
31,11776,-17.0000,-65.0000
32,69522867,-23.5477,-46.6358
33,288,24.2500,-76.0000
34,5376,27.5000,90.5000
36,70016,-22.0000,24.0000
37,888841,53.0000,28.0000
38,108395,17.2500,-88.7500
39,14468208,43.6425,-79.3872
40,5,-12.5000,96.8333
41,134811,0.0000,25.0000
42,11648,7.0000,21.0000
43,47113,-1.0000,15.0000
44,10769395,47.0000,8.0000
45,598368,8.0000,-5.0000
46,7680,-21.2333,-159.7667
47,2509929,-33.4378,-70.6503
48,271760,6.0000,12.0000
49,37995523,35.0000,105.0000
50,9306192,4.5981,-74.0758
51,413024,10.0000,-84.0000
52,8016,21.5000,-80.0000
53,33664,16.0000,-24.0000
55,614410,35.0000,33.0000
56,4935396,50.0833,14.4167
57,73982047,51.0000,9.0000
58,66075,11.5000,43.0000
59,9589177,55.6761,12.5683
60,4352,15.4167,-61.3333
61,26626,19.0000,-70.6667
62,2672214,28.0000,3.0000
63,39160,-2.0000,-77.5000
64,960637,59.0000,26.0000
65,14274351,30.0500,31.3666
67,4224,15.0000,39.0000
68,18714471,40.4000,-3.6833
69,357451,8.0000,38.0000
70,8715007,60.1708,24.9375
71,91264,-18.0000,175.0000
72,642,-51.7500,-59.0000
73,12800,6.9167,158.2500
74,27008,62.0000,-7.0000
75,45769930,48.8600,2.3500
76,311423,-1.0000,11.7500
77,84092817,51.5000,-0.1300
78,23425,12.1167,-61.6667
79,1135083,42.0000,43.5000
80,17663,4.0000,-53.0000
81,1043815,8.0000,-2.0000
82,44392,36.1833,-5.3667
83,11391,72.0000,-40.0000
84,26112,13.4667,-16.5667
85,24112,11.0000,-10.0000
86,60256,16.2500,-61.5833
87,14336,2.0000,10.0000
88,4772830,37.9667,23.7167
90,368716,15.5000,-90.2500
91,191344,13.4667,144.7833
92,6144,12.0000,-15.0000
93,3456,5.0000,-59.0000
94,4350133,22.2500,114.1667
96,46274,15.0000,-86.5000
97,1879195,45.1667,15.5000
